DISEASE/TRAIT	SNPS	PUBMEDID	IlmnID	SNP_distance_to_CpG
Body mass index	rs215607	30239722	cg10851726_TC11	1
Body mass index	rs215607	36581621	cg10851726_TC11	1
Body mass index	rs215607	30108127	cg10851726_TC11	1
Monocyte percentage of white cells	rs72836346	27863252	cg03322502_TC11	1
Granulocyte percentage of myeloid white cells	rs72836346	27863252	cg03322502_TC11	1
Eosinophil counts	rs72836346	30595370	cg03322502_TC11	1
Eosinophil percentage of white cells	rs72836346	32888494	cg03322502_TC11	1
Eosinophil counts	rs72836346	32888494	cg03322502_TC11	1
Eosinophil counts	rs72836346	32888493	cg03322502_TC11	1
Eosinophil counts	rs72836346	32888493	cg03322502_TC11	1
Monocyte percentage of white cells	rs72836346	32888494	cg03322502_TC11	1
Monocyte count	rs72836346	32888494	cg03322502_TC11	1
Sex hormone-binding globulin levels	rs72836346	32042192	cg03322502_TC11	1
High light scatter reticulocyte percentage of red cells	rs72836346	32888494	cg03322502_TC11	1
Sex hormone-binding globulin levels adjusted for BMI	rs72836346	32042192	cg03322502_TC11	1
Phospholipids to total lipids ratio in large HDL	rs72836346	35213538	cg03322502_TC11	1
Sex hormone-binding globulin levels in postmenopausal women	rs72836346	35192695	cg03322502_TC11	1
Sex hormone-binding globulin levels	rs72836346	35192695	cg03322502_TC11	1
Sex hormone-binding globulin levels	rs72836346	35192695	cg03322502_TC11	1
Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive)	rs72836346	35470158	cg03322502_TC11	1
Eosinophil counts	rs72836346	34594039	cg03322502_TC11	1
Lung function (FEV1/FVC)	rs72836346	36914875	cg03322502_TC11	1
Body mass index	rs12323340	36581621	cg19617730_TC11	1
Respiratory diseases	rs12889006	30595370	cg19639681_BC11	23
Medication use (adrenergics, inhalants)	rs12889006	34594039	cg19639681_BC11	23
Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid)	rs17278159	26584805	cg08074408_BC11	30
Emphysema annual change measurement in smokers (adjusted lung density)	rs348941	31324189	cg08396068_TC11	1
White blood cell count	rs10883360	32888493	cg15459669_TC11	26
Educational attainment	rs7921010	35361970	cg15499570_TC11	1
Obesity	rs10508503	19151714	cg14726318_BC11	17
Kynurenine levels	rs4843718	33414548	cg21920110_TC11	1
Myopia (age of diagnosis)	rs10011267	29808027	cg06814658_BC11	12
Lifetime smoking index	rs2401924	31689377	cg11595300_TC11	1
Risk-taking tendency (4-domain principal component model)	rs2401924	30643258	cg11595300_TC11	1
Smoking status	rs2401924	30595370	cg11595300_TC11	1
General cognitive ability	rs62484026	29844566	cg11673839_TC11	7
Methazolamide-induced Stevens-Johnson syndrome / toxic epidermal necrolysis	rs1131151	35122707	cg13155295_TC11	23
Asthma	rs34437781	31619474	cg17731992_TC11	42
Hip circumference adjusted for BMI	rs28694041	34021172	cg09363491_BC11	31
Waist-to-hip ratio adjusted for BMI	rs9266253	34021172	cg09363491_BC11	35
MICA-MICB heterodimer protein levels	rs9266253	38565889	cg09363491_BC11	35
Waist-hip index	rs9266253	34021172	cg09363491_BC11	35
Mean reticulocyte volume	rs9266255	32888494	cg09363491_BC11	2
Precuneus area (unadjusted for global measures)	rs9266255	36893272	cg09363491_BC11	2
Orbitofrontal area (unadjusted for global measures)	rs9266255	36893272	cg09363491_BC11	2
Cortical surface area	rs9266255	36893272	cg09363491_BC11	2
Waist-to-hip ratio adjusted for BMI	rs9266255	34021172	cg09363491_BC11	2
Free cholesterol to total lipids ratio in small LDL	rs9266255	35213538	cg09363491_BC11	2
Hip circumference adjusted for BMI	rs9266255	34021172	cg09363491_BC11	2
Inguinal hernia	rs3132090	34382107	cg09364569_TC11	1
Endometriosis or asthma (pleiotropy)	rs2534685	35472084	cg09364935_BC11	1
LDL (weighted GWA)	rs968155	37106081	cg09377348_BC11	0
LDL (standard GWA)	rs968155	37106081	cg09377348_BC11	0
Rheumatoid arthritis	rs12215079	37947095	cg09377348_BC11	37
Hip circumference adjusted for BMI	rs78533241	34021172	cg09378457_BC11	43
Phospholipids to total lipids ratio in chylomicrons and extremely large VLDL	rs71542462	35213538	cg09379744_TC11	1
Morningness	rs1242490	30804565	cg22260677_TC11	1
Obesity-related traits	rs2013441	23251661	cg22301399_TC11	1
Obstructive sleep apnea	rs12229673	36989840	cg17151210_TC11	1
Brain region volumes	rs2629542	31676860	cg15722624_BC11	22
Brain region volumes	rs2629542	31676860	cg15722624_BC11	22
Hippocampal subfield CA3 volume	rs2629542	30279459	cg15722624_BC11	22
Rosacea symptom severity	rs34278912	29771307	cg16477684_TC11	1
Insulin levels	rs62181095	34620218	cg04181967_TC11	1
Corpus callosum posterior volume	rs2003165	37164063	cg08167577_BC11	37
Aspartate aminotransferase levels (adjusted for BMI) x vegetarianism interaction	rs7257883	38990837	cg24766178_BC11	1
Bone mineral density mean	rs6831021	37500982	cg06093587_TC11	1
Adverse response to chemotherapy (neutropenia/leucopenia) (doxorubicin)	rs11857176	23648065	cg20661850_TC11	9
Squamous cell lung carcinoma	rs7403155	28604730	cg20674912_TC11	1
Cigarettes smoked per day (MTAG)	rs7403155	36376304	cg20674912_TC11	1
Waist circumference	rs12926311	31928498	cg20929283_TC11	1
Gamma glutamyl transferase levels	rs3743887	33462484	cg20929907_BC11	9
Liver enzyme levels (gamma-glutamyl transferase)	rs3743887	33972514	cg20929907_BC11	9
Lung cancer	rs2853677	27393504	cg07575028_TC11	1
Lung adenocarcinoma	rs2853677	27393504	cg07575028_TC11	1
Mean corpuscular volume	rs2853677	27863252	cg07575028_TC11	1
Plateletcrit	rs2853677	27863252	cg07575028_TC11	1
Benign prostatic hyperplasia and lower urinary tract symptoms	rs2853677	30410027	cg07575028_TC11	1
Benign prostatic hyperplasia and lower urinary tract symptoms (prostate cancer excluded)	rs2853677	30410027	cg07575028_TC11	1
Prostate-specific antigen levels	rs2853677	30410027	cg07575028_TC11	1
Keratinocyte cancer (MTAG)	rs2853677	31174203	cg07575028_TC11	1
Mosaic loss of chromosome Y (Y chromosome dosage)	rs2853677	31624269	cg07575028_TC11	1
Mosaic loss of chromosome Y (Y chromosome dosage)	rs2853677	31624269	cg07575028_TC11	1
Leukocyte telomere length	rs2853677	32109421	cg07575028_TC11	1
Eosinophil percentage of white cells	rs2853677	32888494	cg07575028_TC11	1
Eosinophil counts	rs2853677	32888494	cg07575028_TC11	1
Mean corpuscular hemoglobin	rs2853677	32888494	cg07575028_TC11	1
Mean corpuscular volume	rs2853677	32888494	cg07575028_TC11	1
Lymphocyte percentage of white cells	rs2853677	32888494	cg07575028_TC11	1
Mean platelet volume	rs2853677	32888494	cg07575028_TC11	1
Mean reticulocyte volume	rs2853677	32888494	cg07575028_TC11	1
Mean spheric corpuscular volume	rs2853677	32888494	cg07575028_TC11	1
Lung adenocarcinoma	rs2853677	22797724	cg07575028_TC11	1
White blood cell count	rs2853677	32888494	cg07575028_TC11	1
Neutrophil count	rs2853677	32888494	cg07575028_TC11	1
Plateletcrit	rs2853677	32888494	cg07575028_TC11	1
Neutrophil percentage of white cells	rs2853677	32888494	cg07575028_TC11	1
Myeloproliferative neoplasms	rs2853677	33057200	cg07575028_TC11	1
Platelet count	rs2853677	32888494	cg07575028_TC11	1
Red blood cell count	rs2853677	32888494	cg07575028_TC11	1
Telomere length	rs2853677	35530816	cg07575028_TC11	1
Lung adenocarcinoma	rs2853677	39366959	cg07575028_TC11	1
Kidney cancer	rs2853677	38671320	cg07575028_TC11	1
Red blood cell count	rs2853677	38116116	cg07575028_TC11	1
Telomere length (principal component 1)	rs2853677	39192095	cg07575028_TC11	1
Skin cancer	rs2853677	34594039	cg07575028_TC11	1
Lung cancer	rs2853677	34594039	cg07575028_TC11	1
Lung cancer	rs2853677	34594039	cg07575028_TC11	1
Platelet count	rs2853677	38116116	cg07575028_TC11	1
Intrinsic epigenetic age acceleration	rs2853677	34187551	cg07575028_TC11	1
Cancer	rs2853677	34290314	cg07575028_TC11	1
Lung cancer	rs2853677	35915169	cg07575028_TC11	1
Lung adenocarcinoma	rs2853677	35915169	cg07575028_TC11	1
Clonal hematopoiesis (mutational barcode method)	rs2853677	37932435	cg07575028_TC11	1
Neutrophils and lymphocytes in blood (confirmatory factor analysis Factor 35)	rs2853677	38965376	cg07575028_TC11	1
Clonal hematopoiesis (overall)	rs2853677	35835912	cg07575028_TC11	1
Clonal hematopoiesis (DNMT3A mutation)	rs2853677	35835912	cg07575028_TC11	1
Clonal hematopoiesis (small clone)	rs2853677	35835912	cg07575028_TC11	1
Low-grade serous epithelial ovarian cancer	rs2853677	38723632	cg07575028_TC11	1
Early onset non-small cell lung cancer	rs2853677	37232355	cg07575028_TC11	1
Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)	rs925255	26974007	cg02602671_BC11	36
Crohn's disease	rs925255	28067908	cg02602671_BC11	36
Inflammatory bowel disease	rs925255	28067908	cg02602671_BC11	36
Inflammatory bowel disease	rs925255	23128233	cg02602671_BC11	36
Crohn's disease	rs925255	26192919	cg02602671_BC11	36
Color vision defects (Deutan-Protan)	rs139612463	37359372	cg21863774_TC11	1
Total testosterone levels	rs3836123	36653534	cg02509646_TC11	0
Free testosterone levels	rs3836123	36653534	cg02509646_TC11	0
Drinks per week	rs113825099	36477530	cg22505517_BC11	30
Atopic asthma	rs145835664	31669095	cg22506093_TC11	1
Asthma (childhood onset)	rs145835664	31669095	cg22506093_TC11	1
Nonatopic asthma	rs145835664	31669095	cg22506093_TC11	1
Asthma in any disease	rs145835664	36344522	cg22506093_TC11	1
Hematocrit	rs73101498	32888493	cg02123660_BC11	41
Nonsyndromic cleft lip with or without cleft palate	rs7680206	34941638	cg06193355_TC11	1
Fasting plasma glucose	rs146841961	36333282	cg02683617_BC11	22
Red vs. brown/black hair color	rs368507952	30531825	cg21981603_TC11	50
Hair colour (natural, before greying): Red (UKB data field 1747_2)	rs368507952	34737426	cg21981603_TC11	50
Hair colour (natural, before greying): Dark brown (UKB data field 1747_4)	rs147440955	34737426	cg00144506_BC11	2
Hair colour (natural, before greying): Red (UKB data field 1747_2)	rs147440955	34737426	cg00144506_BC11	2
Waist-to-hip ratio adjusted for BMI	rs12372180	31669095	cg18273020_TC11	1
Multi-trait sex score	rs12372180	37277458	cg18273020_TC11	1
Breast dense area	rs74706269	37345113	cg19271639_BC11	18
Allergic disease (asthma, hay fever or eczema)	rs11685995	31361310	cg04235756_BC11	4
Breast cancer	rs8100241	22976474	cg24236886_TC11	1
Self-reported math ability (MTAG)	rs28403253	30038396	cg24248161_TC11	51
Mean corpuscular volume	rs11280603	34594039	cg17618438_TC11	0
Mean corpuscular hemoglobin	rs11280603	34594039	cg17618438_TC11	0
Histidine-rich glycoprotein levels	rs266761	36168886	cg05946374_TC11	1
Waist-to-hip ratio adjusted for BMI	rs7639267	31669095	cg04925942_TC11	1
Menarche (age at onset)	rs7639267	30595370	cg04925942_TC11	1
Intelligence	rs7639267	36378351	cg04925942_TC11	1
Post bronchodilator FEV1	rs143737902	26634245	cg16572927_BC11	0
Post bronchodilator FEV1/FVC ratio	rs143737902	26634245	cg16572927_BC11	0
Waist-hip ratio	rs11236213	30595370	cg16626789_BC11	52
Waist-to-hip ratio adjusted for BMI	rs11236213	31669095	cg16626789_BC11	52
Low hand grip strength (60 years and older) (EWGSOP)	rs11236213	33510174	cg16626789_BC11	52
Low hand grip strength (60 years and older) (EWGSOP)	rs11236213	33510174	cg16626789_BC11	52
Asthma	rs12718488	31619474	cg16649456_BC11	44
Atopic asthma	rs12718488	31669095	cg16649456_BC11	44
IgA nephropathy	rs2501784	37337107	cg00315074_BC11	16
Adult body size	rs2114210	32376654	cg12860735_TC11	1
Composite immunoglobulin trait (IgA/IgG)	rs117775520	28628107	cg20068255_BC11	38
Immunoglobulin A levels	rs117775520	34648354	cg20068255_BC11	38
HLA class II histocompatibility antigen, DM alpha chain levels (HLA.DMA.10639.1.3)	rs117775520	29875488	cg20068255_BC11	38
Lymphocyte count	rs111626441	32888493	cg23811636_TC11	18
DKK1/VEGFC protein level ratio	rs111626441	38412862	cg23811636_TC11	18
CCN2/VEGFC protein level ratio	rs111626441	38412862	cg23811636_TC11	18
Systolic blood pressure (standard GWA)	rs11207410	37106081	cg15405368_TC11	1
Colorectal cancer	rs777228884	38538606	cg10772687_BC11	10
Whole body fat free mass (UKB data field 23101)	rs62104476	38538606	cg24366287_TC11	1
Iron status biomarkers (ferritin levels)	rs13253974	33536631	cg12309022_TC11	1
Coronary artery disease	rs10909862	29212778	cg00074933_TC11	1
Body mass index	rs2622555	36581621	cg12587771_TC11	31
Appendicular lean mass	rs10814129	33097823	cg13588266_TC11	1
Cardio-cerebrovascular disease in diabetes mellitus	rs1057040	33632238	cg23020418_TC11	1
Systolic blood pressure	rs1057040	35762941	cg23020418_TC11	1
Multi-trait sex score	rs1057040	37277458	cg23020418_TC11	1
Gamma-glutamylleucine levels in elite athletes	rs10849860	31882771	cg18216600_BC11	39
Schizophrenia	rs4888927	35396580	cg21784197_BC11	52
Liver enzyme levels (gamma-glutamyl transferase)	rs1658425	33972514	cg15093467_TC11	1
Gamma glutamyl transferase levels	rs1658425	38632349	cg15093467_TC11	1
Male-pattern baldness	rs7773781	30573740	cg10262116_TC11	1
Predicted developmental stuttering	rs2733307	34861174	cg20432952_BC11	48
Sex hormone-binding globulin levels	rs2601007	32042192	cg17777347_TC11	13
Sex hormone-binding globulin levels adjusted for BMI	rs2601007	32042192	cg17777347_TC11	13
Left ventricular obstructive tract defect (inherited effect)	rs11514295	28468790	cg17780742_BC11	49
Naive T-cell telomere length	rs7529215	35681050	cg01508176_TC11	1
Sex hormone binding globulin levels x vegetarianism interaction	rs28676965	38990837	cg06262925_TC11	1
Waist-to-hip ratio adjusted for BMI	rs115782353	31669095	cg15832527_TC11	1
Tonsillectomy	rs72834455	28928442	cg03384684_TC11	1
TestASV_28 (Holdemanella) abundance	rs12455583	33462482	cg23778552_TC11	48
Memory decline in normal cognition	rs73324731	37984853	cg08806727_TC11	1
Hypothyroidism or rheumatoid arthritis (pleiotropy)	rs1736984	38368726	cg09345300_BC12	10
Hypothyroidism or rheumatoid arthritis (pleiotropy)	rs17185146	38368726	cg09345300_BC12	20
Non-melanoma skin cancer	rs9258593	34290314	cg03312406_TC11	3
Visceral adipose tissue volumes to gluteofemoral adipose tissue volumes ratio	rs9276981	35773277	cg02958551_TC11	1
Educational attainment	rs617727	34855049	cg23602690_BC12	42
Corneal resistance factor (MTAG)	rs6949728	35446358	cg11484069_TC11	1
Psoriasis	rs983410720	38757301	cg12419361_TC11	49
Cardiovascular disease	rs4804517	30595370	cg24040405_BC11	34
Systolic blood pressure	rs4804517	30595370	cg24040405_BC11	34
Medication use (agents acting on the renin-angiotensin system)	rs4804517	31015401	cg24040405_BC11	34
Medication use (calcium channel blockers)	rs4804517	31015401	cg24040405_BC11	34
Monocyte count	rs34026587	32888493	cg24494119_TC11	1
Age when finished full-time education (standard GWA)	rs61735689	37106081	cg19436403_TC11	1
Psoriasis	rs1250546	23143594	cg15286641_BC11	22
Inflammatory bowel disease	rs1250546	23128233	cg15286641_BC11	22
Crohn's disease	rs1250546	26192919	cg15286641_BC11	22
Sib-shared facial trait 548; Facial segment 21; 3D morphology of the nose sides	rs113771540	33983923	cg13999594_TC11	0
Switch-associated protein 70 levels	rs7044478	34648354	cg13999594_TC11	0
Serum alkaline phosphatase levels	rs369130933	34594039	cg14032180_BC11	1
Sex hormone-binding globulin levels	rs61968020	34321204	cg19227695_BC11	44
Hemoglobin levels	rs66826727	32327693	cg07896180_TC11	1
Acute anterior uveitis (with or without ankylosing spondylitis)	rs2032890	25200001	cg08292675_TC11	33
Acute anterior uveitis in ankylosing spondylitis	rs2032890	25200001	cg08292675_TC11	33
Protein quantitative trait loci (liver)	rs2032890	32778093	cg08292675_TC11	33
Platelet count	rs13185488	32888493	cg08292675_TC11	1
Plateletcrit	rs13185488	32888494	cg08292675_TC11	1
Platelet count	rs13185488	32888494	cg08292675_TC11	1
Serum levels of protein ERAP1	rs12517853	35078996	cg08292675_TC11	38
Reaction time	rs549230195	29844566	cg18399967_TC11	39
Waist circumference adjusted for body mass index	rs10752929	34021172	cg01700516_TC11	1
Skin pigmentation	rs76327975	28300201	cg02236985_TC11	49
Tax1-binding protein 3 levels	rs467277	34648354	cg22062663_TC11	1
Testosterone levels	rs12150660	21998597	cg22133657_TC11	1
Sex hormone-binding globulin levels	rs12150660	22829776	cg22133657_TC11	1
Sex hormone-binding globulin levels	rs12150660	22829776	cg22133657_TC11	1
Sex hormone-binding globulin levels	rs12150660	22829776	cg22133657_TC11	1
Sex hormone-binding globulin levels	rs12150660	22829776	cg22133657_TC11	1
Sex hormone-binding globulin levels	rs12150660	34321204	cg22133657_TC11	1
Bone mineral density variability	rs61326180	37500982	cg03085911_TC11	1
Height	rs942015	34594039	cg17995557_BC21	39
Obesity-related traits	rs10968457	23251661	cg24471894_BC21	38
Obesity-related traits	rs10968457	23251661	cg24471894_BC22	38
Obesity-related traits	rs10968457	23251661	cg24471894_BC23	38
Breast cancer	rs111549985	29059683	cg08212685_TC21	1
Breast cancer	rs111549985	29059683	cg08212685_TC22	1
Breast cancer	rs111549985	29059683	cg08212685_TC23	1
Lymphocyte count	rs7192652	27863252	cg03754428_TC21	49
Eosinophil counts	rs7192652	30595370	cg03754428_TC21	49
Eosinophil counts	rs7192652	32888493	cg03754428_TC21	49
Eosinophil counts	rs7192652	32888494	cg03754428_TC21	49
Eosinophil counts	rs7192652	32888493	cg03754428_TC21	49
Eosinophil percentage of white cells	rs7192652	32888494	cg03754428_TC21	49
Lymphocyte count	rs7192652	32888493	cg03754428_TC21	49
Lymphocyte percentage of white cells	rs7192652	32888494	cg03754428_TC21	49
Lymphocyte count	rs7192652	32888494	cg03754428_TC21	49
Lymphocyte count	rs7192652	32888493	cg03754428_TC21	49
Neutrophil-to-lymphocyte ratio	rs7192652	34469753	cg03754428_TC21	49
Lymphocyte count	rs7192652	34594039	cg03754428_TC21	49
Neutrophil percentage of white cells	rs45600936	32888494	cg01143314_TC21	4
Triglyceride levels	rs9610329	32203549	cg17347063_TC21	35
HDL cholesterol levels	rs9610329	32203549	cg17347063_TC21	35
Sex hormone-binding globulin levels adjusted for BMI	rs9610329	32042192	cg17347063_TC21	35
Sex hormone-binding globulin levels	rs9610329	32042192	cg17347063_TC21	35
Triglyceride levels	rs9610329	34887591	cg17347063_TC21	35
Triglyceride levels	rs9610329	34887591	cg17347063_TC21	35
High density lipoprotein cholesterol levels	rs9610329	34887591	cg17347063_TC21	35
Triglycerides	rs9610329	34594039	cg17347063_TC21	35
Triglyceride levels in non-type 2 diabetes	rs9610329	36269708	cg17347063_TC21	35
High density lipoprotein cholesterol levels	rs9610329	34887591	cg17347063_TC21	35
Height	rs942015	34594039	cg17995557_BC22	39
Strep throat	rs28381344	28928442	cg08103317_TO21	1
Neuroticism	rs28381344	30643256	cg08103317_TO21	1
Depressive symptoms	rs28381344	30643256	cg08103317_TO21	1
Anxiety disorder	rs28381344	39294497	cg08103317_TO21	1
Methazolamide-induced Stevens-Johnson syndrome / toxic epidermal necrolysis	rs28381346	35122707	cg09368446_BO21	7
Systolic blood pressure	rs409558	27618448	cg09368446_BO21	14
Pulse pressure	rs409558	27618448	cg09368446_BO21	14
Pulse pressure	rs409558	38689001	cg09368446_BO21	14
Systolic blood pressure	rs409558	38689001	cg09368446_BO21	14
Complement C4b levels	rs409558	28240269	cg09368446_BO21	14
Serum levels of protein DEFB119	rs3911893	35078996	cg09372537_BO21	44
Migraine	rs3911893	34294844	cg09372537_BO21	44
gp41 C34 peptide, HIV levels	rs2075801	28240269	cg16784945_BC21	49
Breast cancer (triple negative or BRCA1-positive)	rs17215231	32424353	cg09384990_BC21	6
Aspartate aminotransferase levels	rs17215231	38116116	cg09384990_BC21	6
Monocyte side fluorescence	rs17215231	37596262	cg09384990_BC21	6
Frontal fibrosing alopecia	rs7749944	30850646	cg09347242_BC21	37
Systemic lupus erythematosus	rs146003878	33272962	cg09377197_BC21	35
Neuroticism (MTAG)	rs28732100	29292387	cg06937619_BC21	0
Subjective well-being (MTAG)	rs28732100	29292387	cg06937619_BC21	0
Depressive symptoms (MTAG)	rs28732100	29292387	cg06937619_BC21	0
Rheumatoid arthritis or type 1 diabetes	rs1063646	37377963	cg21084702_BC21	15
Basophil percentage of granulocytes	rs2853989	27863252	cg09363606_BC21	39
Sum eosinophil basophil counts	rs9266428	27863252	cg23868571_BC21	51
Eosinophil counts	rs9266428	27863252	cg23868571_BC21	51
Type 2 diabetes	rs115884658	29358691	cg00232453_BC21	36
Autoimmune traits	rs115884658	32534018	cg00232453_BC21	36
Serum levels of protein C4A;C4B	rs7887	35078996	cg00232453_BC21	27
Serum levels of protein EEF2K	rs7887	35078996	cg00232453_BC21	27
17-beta-hydroxysteroid dehydrogenase 14 levels	rs7887	34648354	cg00232453_BC21	27
Height	rs537160	28552196	cg09372290_BC21	16
CDKN1A/HBEGF protein level ratio	rs537160	38412862	cg09372290_BC21	16
Depression (broad)	rs537160	29662059	cg09372290_BC21	16
HBEGF/YES1 protein level ratio	rs537160	38412862	cg09372290_BC21	16
Pyridoxate levels in elite athletes	rs11576014	31882771	cg09370166_TC21	39
Blood protein levels	rs2844456	27532455	cg02778334_TC21	8
Chronic obstructive pulmonary disease x current smoker interaction (main effect)	rs2844456	33106845	cg02778334_TC21	8
Chronic obstructive pulmonary disease in non-current smokers	rs2844456	33106845	cg02778334_TC21	8
Chronic obstructive pulmonary disease x current smoker interaction (2df)	rs2844456	33106845	cg02778334_TC21	8
Height	rs3828914	36224396	cg09365025_BC21	50
Strep throat	rs28381344	28928442	cg14119796_BC21	53
Neuroticism	rs28381344	30643256	cg14119796_BC21	53
Depressive symptoms	rs28381344	30643256	cg14119796_BC21	53
Anxiety disorder	rs28381344	39294497	cg14119796_BC21	53
Hip circumference adjusted for BMI	rs16895223	34021172	cg06297863_BC21	41
Brain volume in infants (intracranial brain volume)	rs8030297	28763065	cg20697010_TC21	40
Height	rs2232227	36224396	cg17248540_BC21	19
RS-6-hydroxywarfarin levels	rs149285407	36210801	cg26801613_BC21	14
Cognitive empathy	rs200285875	28584286	cg14484274_TC21	23
Cognitive empathy	rs35297686	28584286	cg14484274_TC21	28
S-1-pyrroline-5-carboxylate levels in elite athletes	rs7100410	31882771	cg08190979_BC21	35
Breast size	rs113198678	27182965	cg14658362_BC21	43
Self-reported math ability (MTAG)	rs56044565	30038396	cg26113448_BC21	21
QT interval	rs7808970	24952745	cg02537229_TC21	33
Brain region volumes	rs798549	31676860	cg23779604_BC21	34
White matter microstructure (mode of anisotropy)	rs798549	31666681	cg23779604_BC21	34
Type 2 diabetes	rs798549	32541925	cg23779604_BC21	34
Multi-trait sex score	rs798549	37277458	cg23779604_BC21	34
Hip circumference adjusted for BMI	rs798549	34021172	cg23779604_BC21	34
Waist circumference adjusted for body mass index	rs798549	34021172	cg23779604_BC21	34
Multi-trait sex score	rs798549	37277458	cg23779604_BC21	34
Intelligence	rs10411958	29942086	cg13338734_BC21	27
Sex hormone-binding globulin levels	rs10411958	32042192	cg13338734_BC21	27
Sex hormone-binding globulin levels adjusted for BMI	rs10411958	32042192	cg13338734_BC21	27
Cognitive performance	rs10411958	30038396	cg13338734_BC21	27
Cognitive aspects of educational attainment	rs10411958	33414549	cg13338734_BC21	27
Attention deficit hyperactivity disorder or autism spectrum disorder or intelligence (pleiotropy)	rs10411958	35764056	cg13338734_BC21	27
Systemic lupus erythematosus	rs2303745	23273568	cg10664184_TC21	15
Estimated glomerular filtration rate	rs11103387	31451708	cg14529943_BC21	38
Estimated glomerular filtration rate	rs11103387	31015462	cg14529943_BC21	38
Estimated glomerular filtration rate (creatinine)	rs11103387	35710981	cg14529943_BC21	38
Serum creatinine levels	rs11103387	34594039	cg14529943_BC21	38
Height	rs11103387	35399580	cg14529943_BC21	38
Gamma glutamyl transferase levels	rs75218113	33462484	cg01272393_TC21	37
Mortality in COVID-19	rs115769518	33536081	cg09006487_TC21	53
Body mass index	rs1051695	36581621	cg19354852_TC21	50
Body mass index	rs1051695	29273807	cg19354852_TC21	50
Baseline memory	rs17013444	37984853	cg07069277_TC21	8
Baseline memory	rs17013444	37984853	cg07069277_TC21	8
Arterial stiffness index	rs17013444	31235810	cg07069277_TC21	8
Body surface area	rs4377752	36502284	cg08605075_BC21	31
Height	rs4468478	36224396	cg18605759_TC21	13
Platelet-derived growth factor receptor beta levels	rs11740298	36168886	cg07260017_TC21	25
1,2,3-benzenetriol sulfate (2) levels in elite athletes	rs4881530	31882771	cg14538353_TC21	7
Pulse pressure	rs8904	27841878	cg19381609_BC21	8
Systolic blood pressure	rs8904	27841878	cg19381609_BC21	8
Systolic blood pressure	rs8904	30578418	cg19381609_BC21	8
Pulse pressure	rs8904	30578418	cg19381609_BC21	8
Systolic blood pressure	rs8904	30595370	cg19381609_BC21	8
Systolic blood pressure	rs8904	28739976	cg19381609_BC21	8
Systolic blood pressure	rs8904	28739976	cg19381609_BC21	8
PR interval	rs8904	32439900	cg19381609_BC21	8
Pulse pressure	rs8904	38689001	cg19381609_BC21	8
Diastolic blood pressure	rs8904	38689001	cg19381609_BC21	8
Systolic blood pressure	rs8904	38689001	cg19381609_BC21	8
Appendicular lean mass	rs8904	33097823	cg19381609_BC21	8
Pulse pressure	rs8904	35762941	cg19381609_BC21	8
Systolic blood pressure	rs8904	35762941	cg19381609_BC21	8
Pulse pressure	rs8904	34594039	cg19381609_BC21	8
White blood cell count	rs8904	34594039	cg19381609_BC21	8
Systolic blood pressure	rs8904	34594039	cg19381609_BC21	8
Serum total protein levels	rs8904	34594039	cg19381609_BC21	8
Heel bone mineral density	rs16961974	28869591	cg22827191_BC21	36
Heel bone mineral density	rs16961974	28869591	cg22827191_BC21	36
Heel bone mineral density	rs16961974	30048462	cg22827191_BC21	36
Systemic lupus erythematosus	rs9652601	27399966	cg21130557_TC21	26
Systemic lupus erythematosus	rs9652601	26502338	cg21130557_TC21	26
Systemic lupus erythematosus	rs9652601	28714469	cg21130557_TC21	26
Primary biliary cholangitis	rs9652601	34033851	cg21130557_TC21	26
Height	rs6932698	36224396	cg10304540_TC21	24
Bone mineral density mean	rs11029915	37500982	cg16138754_BC21	33
Blood urea nitrogen levels	rs2834310	31152163	cg18796695_TC21	46
Blood urea nitrogen levels	rs2834310	34594039	cg18796695_TC21	46
Height	rs17116015	36224396	cg20137224_TC21	36
Waist-to-hip ratio adjusted for BMI	rs17886880	34021172	cg11867651_TC21	19
Hip circumference adjusted for BMI	rs17886880	34021172	cg11867651_TC21	19
Waist-hip index	rs17886880	34021172	cg11867651_TC21	19
Rheumatoid arthritis or type 1 diabetes	rs1063646	37377963	cg21084702_BC22	15
Basophil percentage of granulocytes	rs2853989	27863252	cg09363606_BC22	39
Sum eosinophil basophil counts	rs9266428	27863252	cg23868571_BC22	51
Eosinophil counts	rs9266428	27863252	cg23868571_BC22	51
Lymphocyte count	rs7192652	27863252	cg03754428_TC22	49
Eosinophil counts	rs7192652	30595370	cg03754428_TC22	49
Eosinophil counts	rs7192652	32888493	cg03754428_TC22	49
Eosinophil counts	rs7192652	32888494	cg03754428_TC22	49
Eosinophil counts	rs7192652	32888493	cg03754428_TC22	49
Eosinophil percentage of white cells	rs7192652	32888494	cg03754428_TC22	49
Lymphocyte count	rs7192652	32888493	cg03754428_TC22	49
Lymphocyte percentage of white cells	rs7192652	32888494	cg03754428_TC22	49
Lymphocyte count	rs7192652	32888494	cg03754428_TC22	49
Lymphocyte count	rs7192652	32888493	cg03754428_TC22	49
Neutrophil-to-lymphocyte ratio	rs7192652	34469753	cg03754428_TC22	49
