DISEASE/TRAIT	SNPS	PUBMEDID	IlmnID	SNP_distance_to_CpG
Red blood cell count	rs55711449	34594039	cg25489169_TC11	41
Height	rs939653112	34594039	cg03738253_BC11	24
Type 2 diabetes	rs1043246	30297969	cg22519265_TC11	34
Type 2 diabetes	rs1043246	35551307	cg22519265_TC11	34
Type 2 diabetes	rs1043246	35551307	cg22519265_TC11	34
Height	rs36215896	39134668	cg16912637_BC11	46
Lymphocyte count	rs11669443	32888494	cg14654158_BC11	37
Basal cell carcinoma	rs11669443	33549134	cg14654158_BC11	37
Crohn's disease	rs11669443	37156999	cg14654158_BC11	37
Ulcerative colitis	rs11669443	37156999	cg14654158_BC11	37
Inflammatory bowel disease	rs11669443	37156999	cg14654158_BC11	37
Body fat percentage (adjusted for testosterone and SHBG)	rs141059425	37867527	cg20705251_TC11	17
Non-albumin protein levels	rs2241950	29403010	cg07122529_TC11	19
Albumin-globulin ratio	rs2241950	29403010	cg07122529_TC11	19
Body mass index	rs80032853	38116116	cg05925327_BC11	7
Protein quantitative trait loci (liver)	rs755622	32778093	cg19307651_TC11	42
Protein quantitative trait loci (liver)	rs755622	32778093	cg19307651_TC11	42
Urate levels	rs861536	31578528	cg04833878_BC11	46
Urate levels	rs861536	31578528	cg04833878_BC11	46
Self-reported math ability (MTAG)	rs28403253	30038396	cg26630773_BC11	41
Intelligence	rs729437	29942086	cg23567627_BC11	30
Highest math class taken (MTAG)	rs729437	30038396	cg23567627_BC11	30
Attention deficit hyperactivity disorder or autism spectrum disorder or intelligence (pleiotropy)	rs729437	35764056	cg23567627_BC11	30
Mean corpuscular hemoglobin	rs147598882	30595370	cg22870899_BC11	22
Age-related hearing impairment	rs143796236	34108613	cg16201883_TC11	16
Hearing loss	rs143796236	35661827	cg16201883_TC11	16
Hearing difficulty	rs143796236	34847940	cg16201883_TC11	16
Serum levels of protein SHMT1	rs2605143	35078996	cg08201673_TC11	46
Angiogenin levels	rs61976879	36168886	cg18924965_TC11	12
Lymphocyte count	rs12952376	32888494	cg03021192_TC11	31
Bipolar disorder	rs112114764	31043756	cg19774624_TC11	22
Bipolar disorder	rs112114764	33263727	cg19774624_TC11	22
Urate levels	rs1478604	31578528	cg13458407_BC11	33
Triglyceride levels	rs143076454	32203549	cg09461851_TC11	18
Height	rs143076454	30595370	cg09461851_TC11	18
Insulin-like growth factor 1 levels	rs143076454	33462484	cg09461851_TC11	18
Vaginal microbiome MetaCyc pathway (P162-PWY|L-glutamate degradation V (via hydroxyglutarate))	rs9947463	34282934	cg24655135_BC11	42
Waist-hip ratio	rs9988	30239722	cg14668889_BC11	29
Hematocrit	rs34562254	32888493	cg04387477_BC11	35
Hemoglobin concentration	rs34562254	32888493	cg04387477_BC11	35
Serum albumin levels	rs34562254	29403010	cg04387477_BC11	35
Sodium levels	rs34562254	29403010	cg04387477_BC11	35
Multiple myeloma	rs34562254	27363682	cg04387477_BC11	35
Multiple myeloma	rs34562254	32569378	cg04387477_BC11	35
Red blood cell count	rs34562254	32888493	cg04387477_BC11	35
Red blood cell count	rs34562254	32888493	cg04387477_BC11	35
IgG levels	rs34562254	28628107	cg04387477_BC11	35
MZB1/TNFRSF13B protein level ratio	rs34562254	38412862	cg04387477_BC11	35
Albumin levels	rs34562254	36329257	cg04387477_BC11	35
Hematocrit	rs34562254	36329257	cg04387477_BC11	35
Serum total protein levels	rs34562254	34594039	cg04387477_BC11	35
Serum albumin levels	rs34562254	34594039	cg04387477_BC11	35
Serum albumin levels	rs34562254	34594039	cg04387477_BC11	35
Tumor necrosis factor receptor superfamily member 17 levels	rs34562254	34648354	cg04387477_BC11	35
Albumin levels (UKB data field 23479)	rs34562254	36764567	cg04387477_BC11	35
CD27/DLL1 protein level ratio	rs34562254	38412862	cg04387477_BC11	35
IL5RA/TNFRSF13B protein level ratio	rs34562254	38412862	cg04387477_BC11	35
ICAM3/TNFRSF13B protein level ratio	rs34562254	38412862	cg04387477_BC11	35
FCRL5/TNFRSF13B protein level ratio	rs34562254	38412862	cg04387477_BC11	35
CD27/NECTIN4 protein level ratio	rs34562254	38412862	cg04387477_BC11	35
CD27/TGFBR2 protein level ratio	rs34562254	38412862	cg04387477_BC11	35
CD27/TNFRSF13B protein level ratio	rs34562254	38412862	cg04387477_BC11	35
CD27/TNFRSF9 protein level ratio	rs34562254	38412862	cg04387477_BC11	35
Multiple myeloma	rs34562254	39103364	cg04387477_BC11	35
Tumor necrosis factor receptor superfamily member 17 levels	rs34562254	36168886	cg04387477_BC11	35
Free cholesterol to total lipids ratio in large HDL	rs34562254	38448586	cg04387477_BC11	35
Mean diameter of LDL particles	rs34562254	38448586	cg04387477_BC11	35
Free cholesterol to total lipids ratio in very small VLDL	rs34562254	38448586	cg04387477_BC11	35
Total cholesterol to total lipids ratio in very large HDL	rs34562254	38448586	cg04387477_BC11	35
Free cholesterol in small LDL	rs34562254	38448586	cg04387477_BC11	35
Free cholesterol to total lipids ratio in very large HDL	rs34562254	38448586	cg04387477_BC11	35
Total cholesterol to total lipids ratio in chylomicrons and extremely large VLDL	rs34562254	38448586	cg04387477_BC11	35
Total protein levels	rs34562254	39414775	cg04387477_BC11	35
Serum total protein levels	rs34562254	34594039	cg04387477_BC11	35
Neutrophil side scatter	rs58573889	37596262	cg27020941_BC11	44
Height	rs13960	36224396	cg04261066_BC11	29
Systolic blood pressure	rs62229372	30595370	cg10374872_BC11	50
Diastolic blood pressure	rs62229372	30224653	cg10374872_BC11	50
Diastolic blood pressure	rs62229372	38689001	cg10374872_BC11	50
Systolic blood pressure	rs62229372	38689001	cg10374872_BC11	50
X-22162 levels	rs117135869	36635386	cg16674248_TC11	10
X-17653 levels	rs3744034	36357675	cg21356179_BC11	25
Diastolic blood pressure	rs6512183	38689001	cg14325436_BC11	33
Facial pigmentation measurement (UV light)	rs2228479	32835660	cg06475006_BC11	35
Facial pigmentation measurement (polar light)	rs2228479	32835660	cg06475006_BC11	35
Skin yellow/blue component	rs2228479	38849341	cg06475006_BC11	35
Gamma glutamyl transferase levels	rs150952015	33462484	cg18336435_TC11	43
C-reactive protein levels	rs150952015	33462484	cg18336435_TC11	43
C-reactive protein levels (MTAG)	rs150952015	36376304	cg18336435_TC11	43
Non-albumin protein levels	rs4983413	33462484	cg09230661_TC11	25
Balding type 1	rs35316276	30595370	cg00212272_BC11	23
Educational attainment	rs35316276	35361970	cg00212272_BC11	23
Chronic obstructive pulmonary disease liability (machine learning-based score)	rs9911502	37069358	cg23244877_TC11	27
Mean corpuscular volume	rs131806	32888493	cg05959377_TC11	47
Apolipoprotein A1 levels	rs71355297	32203549	cg06765373_TC11	50
Hip circumference adjusted for BMI	rs71355297	34021172	cg06765373_TC11	50
Total cholesterol levels (MTAG)	rs114445464	37669986	cg23948811_BC11	17
Type 2 diabetes	rs4984980	32541925	cg00849267_TC11	27
Multi-trait sex score	rs1128550	37277458	cg27336518_TC11	33
Systemic lupus erythematosus	rs12461589	33272962	cg13320555_TC11	17
Heel bone mineral density	rs12373539	30048462	cg25224222_TC11	45
C-reactive protein levels	rs12927172	35459240	cg02925736_TC11	18
C-reactive protein levels (MTAG)	rs12927172	36376304	cg02925736_TC11	18
Mean corpuscular volume	rs2632519	34594039	cg21497659_BC11	32
Waist-hip index	rs61955587	34021172	cg00242264_TC11	5
Waist-to-hip ratio adjusted for BMI	rs61955587	34021172	cg00242264_TC11	5
Peak expiratory flow	rs561223711	36641522	cg25722327_BC11	46
Calcium levels	rs62150970	33462484	cg11879028_BC11	43
Soluble CD14 levels	rs75652866	33910371	cg14169251_TC11	29
Monocyte differentiation antigen CD14, soluble level in Chronic kidney disease with hypertension and no diabetes (16914_104)	rs75652866	35870639	cg14169251_TC11	29
Sex hormone-binding globulin levels	rs67611724	36653534	cg15991950_BC11	16
Glycated hemoglobin levels	rs67611724	33462484	cg15991950_BC11	16
Sex hormone-binding globulin levels	rs67611724	33462484	cg15991950_BC11	16
Alanine aminotransferase levels	rs67611724	33462484	cg15991950_BC11	16
Aspartate aminotransferase to alanine aminotransferase ratio	rs67611724	33462484	cg15991950_BC11	16
Triglyceride levels	rs67611724	33462484	cg15991950_BC11	16
Triglyceride levels	rs67611724	34887591	cg15991950_BC11	16
Triglyceride levels	rs67611724	34887591	cg15991950_BC11	16
Type 2 diabetes	rs67611724	39379762	cg15991950_BC11	16
Ulcerative colitis	rs871822	35232999	cg23027422_BC11	39
Offspring birth weight	rs6911024	31043758	cg05382676_BC11	6
Coronary artery calcified atherosclerotic plaque score in type 2 diabetes	rs111594438	29221444	cg07336682_TC11	28
Protein MEMO1 levels	rs12071124	34648354	cg16061336_TC11	45
Fumarate hydratase, mitochondrial levels	rs12071124	34648354	cg16061336_TC11	45
Presence of antiphospholipid antibodies	rs8178822	27098658	cg25390025_BC11	39
Nonalcoholic fatty liver disease (imputed)	rs10108430	35047847	cg06558280_TC11	40
Corneal resistance factor	rs10108430	33311554	cg06558280_TC11	40
Complement factor H-related protein 1 levels	rs55650346	34260948	cg22385420_TC11	48
Platelet count	rs56036086	27863252	cg25732668_TC11	18
Plateletcrit	rs56036086	27863252	cg25732668_TC11	18
Insomnia	rs12935859	35835914	cg04154727_BC11	37
Red blood cell count	rs62127532	32888493	cg13498216_TC11	18
Red blood cell count	rs62127532	32888493	cg13498216_TC11	18
Lung function (FEV1/FVC)	rs11072641	36914875	cg12860098_TC11	21
Hip circumference adjusted for BMI	rs1406812	34021172	cg23738336_BC11	37
Hip circumference adjusted for BMI	rs1406812	34021172	cg23738336_BC11	37
Waist circumference adjusted for body mass index	rs1406813	34021172	cg23738336_BC11	45
Multi-trait sex score	rs1406813	37277458	cg23738336_BC11	45
Waist-to-hip ratio adjusted for BMI	rs9313754	31669095	cg19348488_TC11	48
Waist circumference adjusted for body mass index	rs9313754	31669095	cg19348488_TC11	48
Waist circumference adjusted for body mass index	rs9313754	34021172	cg19348488_TC11	48
Serum urate levels	rs9313754	38658550	cg19348488_TC11	48
Pulse pressure	rs1884726	38689001	cg14136778_TC11	47
Systolic blood pressure	rs1884726	38689001	cg14136778_TC11	47
Height	rs3828485	39134668	cg14670597_BC11	32
Platelet count	rs296889	32888493	cg13842436_BC11	39
Vascular endothelial growth factor levels	rs34881325	27989323	cg25032030_BC11	9
Hematocrit	rs34881325	32888493	cg25032030_BC11	9
Hematocrit	rs34881325	32888494	cg25032030_BC11	9
Platelet count	rs34881325	32888493	cg25032030_BC11	9
Platelet count	rs34881325	32888493	cg25032030_BC11	9
Hemoglobin	rs34881325	32888494	cg25032030_BC11	9
Red blood cell count	rs34881325	32888494	cg25032030_BC11	9
Serum levels of protein VEGFA	rs34881325	35078996	cg25032030_BC11	9
Serum levels of protein VEGFA	rs34881325	35078996	cg25032030_BC11	9
Monocyte count	rs34881325	34594039	cg25032030_BC11	9
Apolipoprotein B levels	rs3821838	32203549	cg24365576_BC11	22
Appendicular lean mass	rs2526390	31761296	cg15759827_TC11	31
Smoking initiation (ever regular vs never regular) (MTAG)	rs2526390	30643251	cg15759827_TC11	31
Smoking initiation (ever regular vs never regular)	rs2526390	30643251	cg15759827_TC11	31
Inguinal hernia	rs3809062	34382107	cg16172821_BC11	50
Periodontitis (Mean PAL)	rs140900046	24024966	cg14159924_TC11	4
Body mass index	rs34974495	30595370	cg14661717_BC11	11
Body mass index	rs34974495	31669095	cg14661717_BC11	11
Insomnia	rs61765001	35835914	cg10146268_TC11	19
White matter hyperintensity volume (adjusted for hypertension)	rs7157599	33293549	cg25820436_TC11	37
White matter hyperintensity volume	rs7157599	33293549	cg25820436_TC11	37
Sudden cardiac arrest	rs7157599	21658281	cg25820436_TC11	37
Insomnia	rs16885957	35835914	cg09787476_BC11	45
Cortical surface area (MOSTest)	rs11114042	32665545	cg01825792_BC11	43
Estimated glomerular filtration rate (cystatin c)	rs11114042	39256582	cg01825792_BC11	43
Estimated glomerular filtration rate (creatinine, cystatin c)	rs11114042	39256582	cg01825792_BC11	43
Non-albumin protein levels	rs11114042	33462484	cg01825792_BC11	43
Serum total protein levels	rs11114042	34594039	cg01825792_BC11	43
Body mass index (MTAG)	rs2280039	36376304	cg02620538_BC11	34
Basal cell carcinoma	rs3818625	33549134	cg04734572_BC11	27
Cancer	rs3818625	34290314	cg04734572_BC11	27
Non-melanoma skin cancer	rs3818625	34290314	cg04734572_BC11	27
Bilirubin levels in tenofovir-treated HIV infection	rs17864701	26148204	cg04303447_BC11	16
Total bilirubin levels x insomnia interaction	rs17864701	34343768	cg04303447_BC11	16
Direct bilirubin levels x insomnia interaction	rs17864701	34343768	cg04303447_BC11	16
Plasma sulfate of piperine metabolite C18H21NO3 (1)* levels in chronic kidney disease	rs17864701	37277652	cg04303447_BC11	16
Blood protein levels	rs113672631	30072576	cg06649416_TC11	22
14 kDa phosphohistidine phosphatase levels	rs76229681	34648354	cg14485655_BC11	51
Alzheimer's disease in non-APOE e4 carriers	rs114804794	35694926	cg26766672_TC11	31
Whole body fat mass (UKB data field 23100)	rs11749349	38538606	cg08870112_BC11	8
Body mass index	rs11749349	38538606	cg08870112_BC11	8
Estimated glomerular filtration rate (creatinine)	rs28910285	34272381	cg24593144_BC11	48
Educational attainment (MTAG)	rs2275641	30038396	cg07548910_BC11	47
Externalizing behaviour (multivariate analysis)	rs2275641	34446935	cg07548910_BC11	47
Highest math class taken (MTAG)	rs2275641	30038396	cg07548910_BC11	47
Bone mineral density mean	rs151328961	37500982	cg21859370_BC11	45
Mean corpuscular volume	rs3809627	27863252	cg11466241_TC11	51
Sum eosinophil basophil counts	rs3809627	27863252	cg11466241_TC11	51
Mean corpuscular hemoglobin	rs3809627	27863252	cg11466241_TC11	51
Red blood cell count	rs3809627	27863252	cg11466241_TC11	51
Eosinophil counts	rs3809627	27863252	cg11466241_TC11	51
Mean corpuscular hemoglobin	rs3809627	30595370	cg11466241_TC11	51
Red blood cell count	rs3809627	30595370	cg11466241_TC11	51
Hematocrit	rs3809627	32888493	cg11466241_TC11	51
Multiple sclerosis	rs3809627	31604244	cg11466241_TC11	51
Hemoglobin concentration	rs3809627	32888493	cg11466241_TC11	51
Hematocrit	rs3809627	32888493	cg11466241_TC11	51
Eosinophil counts	rs3809627	32888494	cg11466241_TC11	51
Hemoglobin concentration	rs3809627	32888493	cg11466241_TC11	51
Hematocrit	rs3809627	32888494	cg11466241_TC11	51
Red blood cell count	rs3809627	29403010	cg11466241_TC11	51
Red blood cell count	rs3809627	32888493	cg11466241_TC11	51
High light scatter reticulocyte count	rs3809627	32888494	cg11466241_TC11	51
Mean corpuscular hemoglobin	rs3809627	32888494	cg11466241_TC11	51
Mean platelet volume	rs3809627	32888494	cg11466241_TC11	51
Red blood cell count	rs3809627	32888493	cg11466241_TC11	51
Red blood cell count	rs3809627	32888493	cg11466241_TC11	51
Mean corpuscular volume	rs3809627	32888494	cg11466241_TC11	51
Mean reticulocyte volume	rs3809627	32888494	cg11466241_TC11	51
Hemoglobin	rs3809627	32888494	cg11466241_TC11	51
Mean corpuscular volume	rs3809627	32888493	cg11466241_TC11	51
Mean corpuscular volume	rs3809627	32888493	cg11466241_TC11	51
Mean corpuscular hemoglobin	rs3809627	32888493	cg11466241_TC11	51
Mean corpuscular volume	rs3809627	32888493	cg11466241_TC11	51
Mean corpuscular hemoglobin	rs3809627	32888493	cg11466241_TC11	51
Mean spheric corpuscular volume	rs3809627	32888494	cg11466241_TC11	51
Reticulocyte count	rs3809627	32888494	cg11466241_TC11	51
Red blood cell count	rs3809627	32888494	cg11466241_TC11	51
BIN2/CORO1A protein level ratio	rs3809627	38412862	cg11466241_TC11	51
Cortical surface area	rs3809627	34560273	cg11466241_TC11	51
Waist-hip ratio	rs3809627	38116116	cg11466241_TC11	51
Red blood cell count	rs3809627	34594039	cg11466241_TC11	51
Whole brain restricted isotropic diffusion (multivariate analysis)	rs3809627	35505052	cg11466241_TC11	51
Hemoglobin concentration	rs3809627	35964923	cg11466241_TC11	51
Left hippocampal volume (body)	rs3809627	37337106	cg11466241_TC11	51
Left hippocampal volume	rs3809627	37337106	cg11466241_TC11	51
Right hippocampal volume (tail)	rs3809627	37337106	cg11466241_TC11	51
Waist circumference	rs3809627	38116116	cg11466241_TC11	51
Eosinophil counts	rs3809627	34469753	cg11466241_TC11	51
Body mass index	rs3809627	35538205	cg11466241_TC11	51
Eosinophil counts	rs3809627	34594039	cg11466241_TC11	51
Hemoglobin	rs3809627	34594039	cg11466241_TC11	51
Hematocrit	rs3809627	34594039	cg11466241_TC11	51
Mean corpuscular volume	rs3809627	34594039	cg11466241_TC11	51
Mean corpuscular hemoglobin	rs3809627	34594039	cg11466241_TC11	51
Red blood cell count	rs3809627	34594039	cg11466241_TC11	51
Vertex-wise cortical surface area	rs3809627	34910505	cg11466241_TC11	51
Estimated glomerular filtration rate (creatinine)	rs3809627	34272381	cg11466241_TC11	51
Red blood cell forward scatter	rs3809627	37596262	cg11466241_TC11	51
Reticulocyte forward scatter	rs3809627	37596262	cg11466241_TC11	51
Reticulocyte haemoglobin equivalent	rs3809627	37596262	cg11466241_TC11	51
Red blood cell haemoglobin equivalent	rs3809627	37596262	cg11466241_TC11	51
High light scatter reticulocyte count	rs115730158	32888494	cg04751031_BC11	29
High light scatter reticulocyte percentage of red cells	rs115730158	32888494	cg04751031_BC11	29
Reticulocyte fraction of red cells	rs115730158	32888494	cg04751031_BC11	29
Reticulocyte count	rs115730158	32888494	cg04751031_BC11	29
Serum levels of protein MTHFS	rs2903105	35078996	cg07611606_TC11	29
Hemoglobin concentration	rs184088518	27863252	cg12385530_TC11	1
Hemoglobin levels	rs184088518	32327693	cg12385530_TC11	1
Red blood cell count	rs184088518	30595370	cg12385530_TC11	1
Hematocrit	rs184088518	32888493	cg12385530_TC11	1
Hematocrit	rs184088518	32888493	cg12385530_TC11	1
Hemoglobin concentration	rs184088518	32888493	cg12385530_TC11	1
Hematocrit	rs184088518	32888494	cg12385530_TC11	1
Hemoglobin concentration	rs184088518	32888493	cg12385530_TC11	1
Hemoglobin	rs184088518	32888494	cg12385530_TC11	1
Red blood cell count	rs184088518	32888493	cg12385530_TC11	1
Red blood cell count	rs184088518	32888493	cg12385530_TC11	1
Red blood cell count	rs184088518	32888494	cg12385530_TC11	1
Hemoglobin	rs184088518	34594039	cg12385530_TC11	1
Hematocrit	rs184088518	34594039	cg12385530_TC11	1
Red blood cell count	rs184088518	34594039	cg12385530_TC11	1
Sulfatase-modifying factor 1 levels	rs62580411	34648354	cg27590475_TC11	51
Total cholesterol levels	rs4665299	34887591	cg13615171_TC11	25
Smoking initiation	rs3758180	36477530	cg12348385_BC11	24
Composite immunoglobulin trait (IgA/IgG)	rs28720928	28628107	cg18083355_TC11	13
Dementia with Lewy bodies	rs897984	29263008	cg27048624_BC11	32
Systemic lupus erythematosus	rs180977001	28714469	cg13077796_TC11	8
Mean reticulocyte volume	rs80052686	32888494	cg10360941_TC11	24
Mean spheric corpuscular volume	rs80052686	32888494	cg10360941_TC11	24
Sex hormone-binding globulin levels	rs784504	32042192	cg13633952_TC11	6
Sex hormone-binding globulin levels	rs784504	32042192	cg13633952_TC11	6
Sex hormone-binding globulin levels adjusted for BMI	rs784504	32042192	cg13633952_TC11	6
Sex hormone-binding globulin levels adjusted for BMI	rs784504	32042192	cg13633952_TC11	6
Sex hormone-binding globulin levels in postmenopausal women	rs784504	35192695	cg13633952_TC11	6
Sex hormone-binding globulin levels	rs784504	35192695	cg13633952_TC11	6
Sex hormone-binding globulin levels	rs784504	35192695	cg13633952_TC11	6
Sex hormone-binding globulin levels	rs784504	36653534	cg13633952_TC11	6
Estimated glomerular filtration rate (creatinine)	rs784504	35710981	cg13633952_TC11	6
Serum metabolite levels	rs561931	33031748	cg26919461_TC11	50
Glycine levels	rs561931	35213538	cg26919461_TC11	50
Glycine levels (UKB data field 23462)	rs561931	36764567	cg26919461_TC11	50
Serine levels	rs561931	36635386	cg26919461_TC11	50
Glycine levels	rs561931	30837465	cg26919461_TC11	50
Glycine levels	rs561931	38448586	cg26919461_TC11	50
Glycine levels	rs561931	33414548	cg26919461_TC11	50
Plasma serine levels in chronic kidney disease	rs561931	37277652	cg26919461_TC11	50
Serine levels	rs561931	36357675	cg26919461_TC11	50
Estimated glomerular filtration rate (creatinine)	rs74672809	35710981	cg03451855_BC11	24
Coiled-coil domain-containing protein 50 levels	rs4602967	34648354	cg16283790_BC11	14
Body mass index	rs10783779	30239722	cg24600956_TC11	46
Body mass index	rs10783779	30239722	cg24600956_TC11	46
Educational attainment	rs10783779	25201988	cg24600956_TC11	46
Baseline memory	rs41334244	37984853	cg17287322_BC11	38
Baseline memory	rs41334244	37984853	cg17287322_BC11	38
Systemic lupus erythematosus	rs34330	23273568	cg22144703_BC11	10
Vertical cup-disc ratio	rs9535646	34077760	cg18744656_TC11	35
Waist-hip index	rs6693390	34021172	cg26301158_TC11	40
Waist-to-hip ratio adjusted for BMI	rs6693390	34021172	cg26301158_TC11	40
Waist circumference adjusted for body mass index	rs6693390	34021172	cg26301158_TC11	40
A body shape index	rs6693390	34021172	cg26301158_TC11	40
Body size at age 10	rs2767486	32376654	cg25290445_TC11	21
BMI at 3 months old	rs2767486	31575865	cg25290445_TC11	21
BMI at 6 months old	rs2767486	31575865	cg25290445_TC11	21
BMI at 8 months old	rs2767486	31575865	cg25290445_TC11	21
BMI at 1 year old	rs2767486	31575865	cg25290445_TC11	21
BMI at 1.5 years old	rs2767486	31575865	cg25290445_TC11	21
BMI at 1 year old	rs2767486	35315439	cg25290445_TC11	21
BMI at 8 months old	rs2767486	35315439	cg25290445_TC11	21
BMI at 3 years old	rs2767486	35315439	cg25290445_TC11	21
BMI at 1.5 years old	rs2767486	35315439	cg25290445_TC11	21
BMI at 2 years old	rs2767486	35315439	cg25290445_TC11	21
BMI at 3 months old	rs2767486	35315439	cg25290445_TC11	21
BMI at 6 months old	rs2767486	35315439	cg25290445_TC11	21
C-reactive protein levels (MTAG)	rs2767486	36376304	cg25290445_TC11	21
Childhood body mass index	rs2767486	37280435	cg25290445_TC11	21
Lymphocyte percentage of white cells	rs7028641	32888494	cg06044703_TC11	30
C-reactive protein levels (MTAG)	rs142329607	36376304	cg21392309_TC11	35
Sex hormone-binding globulin levels	rs6879874	32042192	cg07063057_TC11	12
Sex hormone-binding globulin levels adjusted for BMI	rs6879874	32042192	cg07063057_TC11	12
Sex hormone-binding globulin levels	rs6879874	35192695	cg07063057_TC11	12
Sex hormone-binding globulin levels	rs6879874	35192695	cg07063057_TC11	12
Height	rs2765033	36224396	cg05364533_TC11	6
Mean arterial pressure	rs11537751	27618448	cg25444486_TC11	27
Hypertension	rs11537751	27618448	cg25444486_TC11	27
Pulse pressure	rs11537751	38689001	cg25444486_TC11	27
Systolic blood pressure	rs11537751	38689001	cg25444486_TC11	27
Height	rs9749567	36224396	cg26911613_BC11	17
Refractive error	rs1991401	32231278	cg05448187_TC11	11
Systolic blood pressure	rs1991401	30595370	cg05448187_TC11	11
Asthma	rs1991401	32296059	cg05448187_TC11	11
Sex hormone-binding globulin levels	rs1991401	32042192	cg05448187_TC11	11
Sex hormone-binding globulin levels adjusted for BMI	rs1991401	32042192	cg05448187_TC11	11
Pulse pressure	rs1991401	38689001	cg05448187_TC11	11
Mitochondrial DNA heteroplasmy (chrM:302:A:ACC case-only heteroplasmy)	rs1991401	37587338	cg05448187_TC11	11
Mitochondrial DNA heteroplasmy (chrM:302:A:AC case-only heteroplasmy)	rs1991401	37587338	cg05448187_TC11	11
Sex hormone-binding globulin levels	rs1991401	36653534	cg05448187_TC11	11
Mean arterial pressure (BMI adjusted)	rs1991401	39048560	cg05448187_TC11	11
Systolic blood pressure (BMI adjusted)	rs1991401	39048560	cg05448187_TC11	11
Pulse pressure	rs1991401	34594039	cg05448187_TC11	11
Systolic blood pressure	rs1991401	39134668	cg05448187_TC11	11
Lung function (FEV1/FVC)	rs1991401	36914875	cg05448187_TC11	11
Systolic blood pressure	rs1991401	38689001	cg05448187_TC11	11
Height	rs1991401	36224396	cg05448187_TC11	11
Mean corpuscular hemoglobin	rs6715064	30595370	cg10448552_TC11	38
Waist circumference adjusted for body mass index	rs6715064	31669095	cg10448552_TC11	38
Plateletcrit	rs6715064	32888494	cg10448552_TC11	38
Platelet count	rs6715064	32888494	cg10448552_TC11	38
Waist circumference adjusted for body mass index	rs6715064	34021172	cg10448552_TC11	38
Height	rs6715064	39134668	cg10448552_TC11	38
Systemic lupus erythematosus	rs4930642	33272962	cg08278582_BC11	44
Heel bone mineral density	rs45446698	30595370	cg01179661_TC11	51
Height	rs45446698	30595370	cg01179661_TC11	51
Urinary metabolite modules (eigenmetabolites) in chronic kidney disease	rs45446698	31959995	cg01179661_TC11	51
Urinary metabolite levels in chronic kidney disease	rs45446698	31959995	cg01179661_TC11	51
Heel bone mineral density	rs45446698	30598549	cg01179661_TC11	51
Urinary metabolite levels in chronic kidney disease	rs45446698	31959995	cg01179661_TC11	51
Serum metabolite levels	rs45446698	33031748	cg01179661_TC11	51
Serum metabolite levels	rs45446698	33031748	cg01179661_TC11	51
Serum metabolite levels	rs45446698	33031748	cg01179661_TC11	51
Serum metabolite levels	rs45446698	33031748	cg01179661_TC11	51
Serum metabolite levels	rs45446698	33031748	cg01179661_TC11	51
Serum metabolite levels	rs45446698	33031748	cg01179661_TC11	51
Serum metabolite levels	rs45446698	33031748	cg01179661_TC11	51
Serum metabolite levels	rs45446698	33031748	cg01179661_TC11	51
Serum metabolite levels	rs45446698	33031748	cg01179661_TC11	51
Total testosterone levels	rs45446698	32042192	cg01179661_TC11	51
Total testosterone levels	rs45446698	32042192	cg01179661_TC11	51
Bioavailable testosterone levels	rs45446698	32042192	cg01179661_TC11	51
Bioavailable testosterone levels	rs45446698	32042192	cg01179661_TC11	51
Estradiol levels	rs45446698	32042192	cg01179661_TC11	51
Estradiol levels	rs45446698	34255042	cg01179661_TC11	51
Estradiol levels	rs45446698	34255042	cg01179661_TC11	51
4-androsten-3alpha,17alpha-diol monosulfate (3) levels	rs45446698	35050183	cg01179661_TC11	51
Andro steroid monosulfate (1) levels	rs45446698	35050183	cg01179661_TC11	51
Androsterone glucuronide (X-22379) levels	rs45446698	35050183	cg01179661_TC11	51
Androsterone sulfate levels	rs45446698	35050183	cg01179661_TC11	51
5alpha-androstan-3alpha,17beta-diol monosulfate (1) levels	rs45446698	35050183	cg01179661_TC11	51
5alpha-androstan-3beta,17alpha-diol disulfate levels	rs45446698	35050183	cg01179661_TC11	51
5alpha-androstan-3beta,17beta-diol disulfate levels	rs45446698	35050183	cg01179661_TC11	51
5alpha-androstan-3beta,17beta-diol monosulfate (2) levels	rs45446698	35050183	cg01179661_TC11	51
16a-hydroxy DHEA 3-sulfate levels	rs45446698	35050183	cg01179661_TC11	51
Dehydroisoandrosterone sulfate (dhea-s) levels	rs45446698	35050183	cg01179661_TC11	51
Etiocholanolone glucuronide levels	rs45446698	35050183	cg01179661_TC11	51
Epiandrosterone sulfate levels	rs45446698	35050183	cg01179661_TC11	51
4-androsten-3beta,17beta-diol monosulfate (1) levels	rs45446698	36357675	cg01179661_TC11	51
4-androsten-3alpha,17alpha-diol monosulfate (3) levels	rs45446698	36357675	cg01179661_TC11	51
4-androsten-3beta,17beta-diol disulfate (1) levels	rs45446698	36357675	cg01179661_TC11	51
4-androsten-3beta,17beta-diol monosulfate (2) levels	rs45446698	36357675	cg01179661_TC11	51
Etiocholanolone glucuronide levels	rs45446698	36357675	cg01179661_TC11	51
Epiandrosterone sulfate levels	rs45446698	36357675	cg01179661_TC11	51
Dehydroisoandrosterone sulfate (dhea-s) levels	rs45446698	36357675	cg01179661_TC11	51
X-21410 levels	rs45446698	35050183	cg01179661_TC11	51
Andro steroid monosulfate (1) levels	rs45446698	36357675	cg01179661_TC11	51
